Party,District,Position,Name,RandX,RandY,PosParty,PopDistrict,Index,Row,Col,Row2,Col2
PSD,Porto,11, Alberto Jorge Torres da Silva Fonseca,0,0,6,13,1146,14,7,14,7
PSD,Porto,12, Ana Gabriela Oliveira Cabilhas,0,0,6,13,1147,14,8,14,8
PSD,Porto,13, Pedro Miguel Neves de Sousa,0,0,6,13,1148,14,9,14,9
PSD,Porto,14, Francisco José de Sousa Vieira,0,0,6,13,1149,14,10,14,10
PSD,Santarém,1, Eduardo Manuel Drummond de Oliveira e Sousa,0,0,6,14,1150,15,1,15,1
PSD,Santarém,2, João Manuel Moura Rodrigues,0,0,6,14,1151,15,2,15,2
PSD,Santarém,3, Isaura Maria Elias Crisóstomo Bernardino Morais,0,0,6,14,1152,15,3,15,3
PSD,Setúbal,1, Maria Teresa da Silva Morais,0,0,6,15,1153,15,4,15,4
PSD,Setúbal,2, Paulo Jorge Simões Ribeiro,0,0,6,15,1154,15,5,15,5
PSD,Setúbal,3, Bruno Jorge Viegas Vitorino,0,0,6,15,1155,15,6,15,6
PSD,Setúbal,4, Sónia dos Reis,0,0,6,15,1156,15,7,15,7
PSD,Viana do Castelo,1, José Pedro Correia de Aguiar Branco,0,0,6,16,1157,15,8,15,8
PSD,Viana do Castelo,2, Maria Emília e Sousa Cerqueira,0,0,6,16,1158,15,9,15,9
PSD,Vila Real,1, Amílcar Rodrigues Alves Castro de Almeida,0,0,6,17,1159,15,10,15,10
PSD,Vila Real,2, António Alberto Pires Aguiar Machado,0,0,6,17,1160,16,1,16,1
PSD,Viseu,1, António Egrejas Leitão Amaro,0,0,6,18,1161,16,2,16,2
PSD,Viseu,2, Pedro Filipe dos Santos Alves,0,0,6,18,1162,16,3,16,3
PSD,Viseu,3, Inês Carmelo Rosa Calado Lopes Domingos,0,0,6,18,1163,16,4,16,4
PSD,Açores,1, Paulo Alexandre Luís Botelho Moniz,0,0,6,19,1164,16,5,16,5
PSD,Açores,2, Francisco José Duarte Pimentel,0,0,6,19,1165,16,6,16,6
PSD,Madeira,1, Pedro Emanuel Abreu Coelho,0,0,6,20,1166,16,7,16,7
PSD,Madeira,2, Paula Cristina Baptista Margarido,0,0,6,20,1167,16,8,16,8
PSD,Madeira,3, Paulo Alexandre de Sousa Neves,0,0,6,20,1168,16,9,16,9
PSD,Fora da Europa,1, José de Almeida Cesário,0,0,6,22,1169,16,10,16,10
IL,Aveiro,1, Mário Filipe Amorim Faria de Oliveira Lopes,0,0,7,1,1170,17,1,17,1
IL,Braga,1, Rui Nuno de Oliveira Garcia da Rocha,0,0,7,3,1171,17,2,17,2
IL,Lisboa,1, Bernardo Alves Martinho Amaral Blanco,0,0,7,11,1172,17,3,17,3
IL,Lisboa,2, Mariana de Lemos Quintão Correia Leitão,0,0,7,11,1173,17,4,17,4
IL,Lisboa,3, Rodrigo Miguel Dias Saraiva,0,0,7,11,1174,17,5,17,5
IL,Porto,1, Carlos Manuel Guimarães Oliveira Pinto,0,0,7,13,1175,17,6,17,6
IL,Porto,2, Ana Patrícia Costa Gilvaz,0,0,7,13,1176,17,7,17,7
IL,Setúbal,1, Joana Rita Madaleno Cordeiro,0,0,7,15,1177,17,8,17,8
CH,Aveiro,1, Jorge Manuel de Valsassina Galveias Rodrigues,-0.018679317,0.012064196,9,1,1178,17,9,20.04806745,4.855022522
CH,Aveiro,2, Maria José Gomes de Aguiar,0.005260499,0.013875636,9,1,1179,17,10,17.3462837,13.35415963
CH,Aveiro,3, Armando Carlos da Silva Grave,0.022288758,0.006346289,9,1,1180,18,1,13.03244194,-2.813215858
CH,Beja,1, Diva Nélia Capela de Jesus Ribeiro,-0.01644183,0.005340201,9,2,1181,18,2,17.56217843,6.392555079
CH,Braga,1, António Filipe Dias Melo Peixoto,-0.010013901,0.023340805,9,3,1182,18,3,22.07708563,1.98647077
CH,Braga,2, Rodrigo Santos Alves Taxa,-0.003621759,-0.010403551,9,3,1183,18,4,17.86225721,4.971743292
CH,Braga,3, Vanessa Claúdia Nogueira da Rosa Barata,0.021185992,0.010975543,9,3,1184,18,5,22.89419895,6.615378586
CH,Braga,4, Carlos Alberto Barbosa Vieira Pinto,-0.001315023,-0.0214842,9,3,1185,18,6,13.25695992,4.692205917
CH,Castelo Branco,1, João Filipe Dias Ribeiro,0.013302166,-0.005877737,9,5,1186,18,7,20.17085324,5.601521975
CH,Coimbra,1, António José Cerejo Pinto Pereira,-0.017532536,-0.023165288,9,6,1187,18,8,13.17957516,11.32321802
CH,Coimbra,2, Eliseu da Costa Neves,-0.016241401,-0.009613692,9,6,1188,18,9,19.37544323,7.247143296
CH,Évora,1, Rui Celestino dos Santos Cristina,-0.001495368,-0.007228722,9,7,1189,18,10,14.5736244,7.056712368
CH,Faro,1, Pedro Miguel Soares Pinto,0.014666587,-0.017871603,9,8,1190,19,1,20.76653994,5.695567776
CH,Faro,2, João Paulo da Silva Graça,0.001622289,-0.023985089,9,8,1191,19,2,23.67827111,2.192884492
CH,Faro,3, Sandra Margarida de Melo Pereira Ribeiro,0.018873615,-0.021763407,9,8,1192,19,3,19.87342549,7.738231146
CH,Guarda,1, Carlos Nuno Gomes e Simões de Melo,-0.008905928,0.022572515,9,9,1193,19,4,14.03869192,3.427593582
CH,Leiria,1, Gabriel Sérgio Mithá Ribeiro,0.007208739,-0.012414388,9,10,1194,19,5,19.71734152,2.770167034
CH,Leiria,2, Luis Paulo Pereira Fernandes,0.009949827,0.004536632,9,10,1195,19,6,22.37348715,5.525259203
CH,Lisboa,1, André Claro Amaral Ventura,-0.011711053,-0.016396327,9,11,1196,19,7,16.41474342,6.409633924
CH,Lisboa,2, Rui Paulo Duque de Sousa,0.020903551,0.004323513,9,11,1197,19,8,22.70482406,7.953628368
CH,Lisboa,3, Marta Sofia Martins da Silva Trindade,-0.023746276,-0.024166609,9,11,1198,19,9,21.96958664,12.36753632
CH,Lisboa,4, Pedro Manuel de Andrade Pessanha Fernandes,-0.01034683,-0.019076699,9,11,1199,19,10,19.66908707,13.34523904
CH,Lisboa,5, Ricardo Dias Pinto Blaufuks,-0.000131477,0.020704926,9,11,1200,20,1,23.634966,5.809678071
CH,Lisboa,6, Felicidade Maria da Silva Santos Vital de Alcântara,-0.010495819,0.024645881,9,11,1201,20,2,23.35968988,4.294879895
CH,Lisboa,7, Bruno Miguel de Oliveira Nunes,0.016771765,-0.00292109,9,11,1202,20,3,22.61440341,0.553453133
CH,Lisboa,8, Madalena Simões Cordeiro,0.016570602,0.023002268,9,11,1203,20,4,19.45812535,-0.602991463
CH,Lisboa,9, José Manuel Pombinho Barreira Soares,0.009743428,0.004853054,9,11,1204,20,5,21.39048711,6.545856303
CH,Portalegre,1, Henrique José Praia da Rocha de Freitas,-0.014133218,0.014474549,9,12,1205,20,6,15.72764882,3.758338364
CH,Porto,1, Rui Pedro da Silva Afonso,-0.015583103,0.005184915,9,13,1206,20,7,17.1643871,10.84145232
CH,Porto,2, Diogo Velez Mouta Pacheco de Amorim,-0.002237056,-0.011270467,9,13,1207,20,8,21.59679885,4.496127069
CH,Porto,3, Maria Cristina Pacheco Rodrigues,-0.016927207,0.018126251,9,13,1208,20,9,21.79696813,6.30853782
