Data,COIP,Valor
2020-07-15,HICP,163.4
2020-07-15,Cabeleireiros,191.3
2020-08-15,HICP,162.2
2020-08-15,Cabeleireiros,192.9
2020-09-15,HICP,164.6
2020-09-15,Cabeleireiros,192.8
2020-10-15,HICP,165
2020-10-15,Cabeleireiros,192.8
2020-11-15,HICP,163.6
2020-11-15,Cabeleireiros,192.8
2020-12-15,HICP,163.9
2020-12-15,Cabeleireiros,192.8
2021-01-15,HICP,161.8
2021-01-15,Cabeleireiros,192.8
2021-02-15,HICP,162.1
2021-02-15,Cabeleireiros,192.8
2021-03-15,HICP,163.8
2021-03-15,Cabeleireiros,192.8
2021-04-15,HICP,165.2
2021-04-15,Cabeleireiros,192.8
2021-05-15,HICP,164.7
2021-05-15,Cabeleireiros,192.8
2021-06-15,HICP,166.7
2021-06-15,Cabeleireiros,192.8
2021-07-15,HICP,164.5
2021-07-15,Cabeleireiros,192.8
2021-08-15,HICP,164.2
2021-08-15,Cabeleireiros,192.9
2021-09-15,HICP,167.7
2021-09-15,Cabeleireiros,192.9
2021-10-15,HICP,169.6
2021-10-15,Cabeleireiros,193.1
2021-11-15,HICP,170.2
2021-11-15,Cabeleireiros,193.2
2021-12-15,HICP,171.1
2021-12-15,Cabeleireiros,193.2
2022-01-15,HICP,170.7
2022-01-15,Cabeleireiros,192.7
2022-02-15,HICP,172.3
2022-02-15,Cabeleireiros,192.7
2022-03-15,HICP,176.9
2022-03-15,Cabeleireiros,193.5
2022-04-15,HICP,180.3
2022-04-15,Cabeleireiros,193.5
2022-05-15,HICP,182
2022-05-15,Cabeleireiros,193.7
2022-06-15,HICP,186
2022-06-15,Cabeleireiros,194
2022-07-15,HICP,183
2022-07-15,Cabeleireiros,194
2022-08-15,HICP,182.7
2022-08-15,Cabeleireiros,195.1
2022-09-15,HICP,188.1
2022-09-15,Cabeleireiros,195.5
2022-10-15,HICP,185.7
2022-10-15,Cabeleireiros,198.5
2022-11-15,HICP,185.2
2022-11-15,Cabeleireiros,198.5
2022-12-15,HICP,184
2022-12-15,Cabeleireiros,198.5
2023-01-15,HICP,183.2
2023-01-15,Cabeleireiros,198.5
2023-02-15,HICP,183.5
2023-02-15,Cabeleireiros,200.4
2023-03-15,HICP,186.4
2023-03-15,Cabeleireiros,200.4
2023-04-15,HICP,188.5
2023-04-15,Cabeleireiros,202.3
2023-05-15,HICP,189.5
2023-05-15,Cabeleireiros,202.4
2023-06-15,HICP,191.2
2023-06-15,Cabeleireiros,202.6
2023-07-15,HICP,189.4
2023-07-15,Cabeleireiros,202.6
2023-08-15,HICP,189
2023-08-15,Cabeleireiros,202.8
2023-09-15,HICP,192.6
2023-09-15,Cabeleireiros,203.3
2023-10-15,HICP,192.8
2023-10-15,Cabeleireiros,203.5
2023-11-15,HICP,190.6
2023-11-15,Cabeleireiros,204.1
2023-12-15,HICP,190.8
2023-12-15,Cabeleireiros,204.6
2024-01-15,HICP,189
2024-01-15,Cabeleireiros,205
2024-02-15,HICP,189.3
2024-02-15,Cabeleireiros,208.4
2024-03-15,HICP,192.7
2024-03-15,Cabeleireiros,208.8
2024-04-15,HICP,194.5
2024-04-15,Cabeleireiros,209.6
2024-05-15,HICP,194
2024-05-15,Cabeleireiros,209.6
2024-06-15,HICP,195.9
2024-06-15,Cabeleireiros,210.3
2024-07-15,HICP,195
2024-07-15,Cabeleireiros,212.6
2024-08-15,HICP,195
2024-08-15,Cabeleireiros,212.6
2024-09-15,HICP,198.5
2024-09-15,Cabeleireiros,213.4
2024-10-15,HICP,198.7
2024-10-15,Cabeleireiros,213.7
2024-11-15,HICP,196.3
2024-11-15,Cabeleireiros,213.7
2024-12-15,HICP,196.4
2024-12-15,Cabeleireiros,214.6
