Country,Year,Age,PopMale,PopFemale,PopTotal,RelMasc
Portugal,1954,89,666,2054,2720,32.4245
Portugal,1954,90,477,1579,2056,30.209
Portugal,1954,91,356,1196,1552,29.7659
Portugal,1954,92,292,991,1283,29.4652
Portugal,1954,93,219,777,996,28.1853
Portugal,1954,94,141,588,729,23.9796
Portugal,1954,95,101,424,525,23.8208
Portugal,1954,96,67,293,360,22.8669
Portugal,1954,97,46,193,239,23.8342
Portugal,1954,98,31,132,163,23.4848
Portugal,1954,99,16,89,105,17.9775
Portugal,1954,100,20,154,174,12.987
Portugal,1955,0,95308,89995,185303,105.9037
Portugal,1955,1,91994,87948,179942,104.6004
Portugal,1955,2,93884,89016,182900,105.4687
Portugal,1955,3,90982,86271,177253,105.4607
Portugal,1955,4,84315,80995,165310,104.099
Portugal,1955,5,87189,83196,170385,104.7995
Portugal,1955,6,90357,87531,177888,103.2286
Portugal,1955,7,85626,83823,169449,102.151
Portugal,1955,8,87032,85147,172179,102.2138
Portugal,1955,9,84736,83303,168039,101.7202
Portugal,1955,10,82058,81607,163665,100.5526
Portugal,1955,11,80440,80094,160534,100.432
Portugal,1955,12,74180,73667,147847,100.6964
Portugal,1955,13,69035,69345,138380,99.553
Portugal,1955,14,73761,74789,148550,98.6255
Portugal,1955,15,72564,74590,147154,97.2838
Portugal,1955,16,78314,78945,157259,99.2007
Portugal,1955,17,74830,76345,151175,98.0156
Portugal,1955,18,78227,78327,156554,99.8723
Portugal,1955,19,75238,77273,152511,97.3665
Portugal,1955,20,73998,76371,150369,96.8928
Portugal,1955,21,75010,77112,152122,97.2741
Portugal,1955,22,77849,80414,158263,96.8103
Portugal,1955,23,70069,72070,142139,97.2235
Portugal,1955,24,70667,76482,147149,92.3969
Portugal,1955,25,70644,68326,138970,103.3926
Portugal,1955,26,71149,73719,144868,96.5138
Portugal,1955,27,68227,71043,139270,96.0362
Portugal,1955,28,68734,71468,140202,96.1745
Portugal,1955,29,67297,71294,138591,94.3936
Portugal,1955,30,65372,69289,134661,94.3469
Portugal,1955,31,62652,65999,128651,94.9287
Portugal,1955,32,62802,65732,128534,95.5425
Portugal,1955,33,56617,58306,114923,97.1032
Portugal,1955,34,63324,67547,130871,93.7481
Portugal,1955,35,43987,45165,89152,97.3918
Portugal,1955,36,48306,51687,99993,93.4587
Portugal,1955,37,49340,52946,102286,93.1893
Portugal,1955,38,49174,53283,102457,92.2883
Portugal,1955,39,52471,56131,108602,93.4795
Portugal,1955,40,52089,56381,108470,92.3875
Portugal,1955,41,51692,55803,107495,92.633
Portugal,1955,42,54775,60472,115247,90.5791
Portugal,1955,43,50687,54374,105061,93.2192
Portugal,1955,44,57524,64922,122446,88.6048
Portugal,1955,45,43839,46749,90588,93.7753
Portugal,1955,46,49534,54963,104497,90.1224
Portugal,1955,47,44983,51455,96438,87.422
Portugal,1955,48,43615,51288,94903,85.0394
Portugal,1955,49,44447,51783,96230,85.8332
Portugal,1955,50,40613,48698,89311,83.3977
Portugal,1955,51,39529,47393,86922,83.4068
Portugal,1955,52,40510,49728,90238,81.4632
Portugal,1955,53,36768,42845,79613,85.8163
Portugal,1955,54,43666,55771,99437,78.2952
Portugal,1955,55,29571,34378,63949,86.0172
Portugal,1955,56,32948,40723,73671,80.9076
Portugal,1955,57,30182,37757,67939,79.9375
Portugal,1955,58,29196,37105,66301,78.6848
Portugal,1955,59,29624,38236,67860,77.4767
Portugal,1955,60,28403,36847,65250,77.0836
Portugal,1955,61,26446,33963,60409,77.8671
Portugal,1955,62,27281,36349,63630,75.053
Portugal,1955,63,22981,29290,52271,78.4602
Portugal,1955,64,28490,41367,69857,68.8713
Portugal,1955,65,19600,24909,44509,78.6864
Portugal,1955,66,23095,30972,54067,74.5674
Portugal,1955,67,20816,28446,49262,73.1772
Portugal,1955,68,19348,27476,46824,70.4178
Portugal,1955,69,18872,28528,47400,66.1526
Portugal,1955,70,17660,25857,43517,68.2987
Portugal,1955,71,15470,22548,38018,68.6092
Portugal,1955,72,15120,23460,38580,64.4501
Portugal,1955,73,11884,16986,28870,69.9635
Portugal,1955,74,15227,25044,40271,60.801
Portugal,1955,75,8703,12812,21515,67.9285
Portugal,1955,76,10053,16017,26070,62.7646
Portugal,1955,77,8854,13499,22353,65.59
Portugal,1955,78,7643,12719,20362,60.0912
Portugal,1955,79,7394,13523,20917,54.6772
